DomainID	PDB	SCOPID	SCOPClass	Length	Suprekingdom	TaxaID	TaxaName
d1n62c1	1n62	d.87.2.1	Alpha and beta (a+b)	109	bacteria	504832	Oligotropha carboxidovorans OM5
d1n7za_	1n7z	b.127.1.1	All beta	328	viruses	10665	Escherichia virus T4
d1n81a_	1n81	a.185.1.1	All alpha	186	eukaryota	36329	Plasmodium falciparum 3D7
d1n8va_	1n8v	a.118.21.1	All alpha	101	eukaryota	55057	Mamestra brassicae
d1n93x_	1n93	a.206.1.1	All alpha	335	viruses	12455	Borna disease virus
d1na6a1	1na6	b.142.1.1	All beta	172	bacteria	562	Escherichia coli
d1nc7a_	1nc7	b.123.1.1	All beta	116	bacteria	2336	Thermotoga maritima
d1ng6a_	1ng6	a.182.1.1	All alpha	148	bacteria	1423	Bacillus subtilis
d1nh1a_	1nh1	e.45.1.1	Multi-domain proteins (alpha and beta)	290	bacteria	317	Pseudomonas syringae
d1nh2b_	1nh2	a.32.1.1	All alpha	46	eukaryota	4932	Saccharomyces cerevisiae
d1nh2c_	1nh2	b.56.1.1	All beta	50	eukaryota	4932	Saccharomyces cerevisiae
d1nija2	1nij	d.237.1.1	Alpha and beta (a+b)	95	bacteria	562	Escherichia coli
d1nkda_	1nkd	a.30.1.1	All alpha	59	bacteria	562	Escherichia coli
d1nkia_	1nki	d.32.1.2	Alpha and beta (a+b)	134	bacteria	208964	Pseudomonas aeruginosa PAO1
d1nkpa_	1nkp	a.38.1.1	All alpha	88	eukaryota	9606	Homo sapiens
d1nkza_	1nkz	f.3.1.1	Membrane and cell surface proteins and peptides	53	bacteria	1074	Rhodoblastus acidophilus
d1nlqa_	1nlq	b.121.3.1	All beta	105	eukaryota	7227	Drosophila melanogaster
d1no1a_	1no1	a.179.1.1	All alpha	67	viruses	10724	Bacillus phage SPP1
d1nqja_	1nqj	b.18.1.36	All beta	96	bacteria	1498	Hathewaya histolytica
d1nqua_	1nqu	c.16.1.1	Alpha and beta (a/b)	154	bacteria	63363	Aquifex aeolicus
d1nrja_	1nrj	d.110.4.4	Alpha and beta (a+b)	147	eukaryota	4932	Saccharomyces cerevisiae
d1ntha_	1nth	c.1.25.1	Alpha and beta (a/b)	457	archaea	2208	Methanosarcina barkeri
d1ntya1	1nty	a.87.1.1	All alpha	184	eukaryota	9606	Homo sapiens
d1nu9c1	1nu9	a.8.6.1	All alpha	145	eukaryota	9606	Homo sapiens
d1nvus_	1nvu	a.117.1.1	All alpha	469	eukaryota	9606	Homo sapiens
d1nwza_	1nwz	d.110.3.1	Alpha and beta (a+b)	125	bacteria	1053	Halorhodospira halophila
d1nxja_	1nxj	c.8.7.1	Alpha and beta (a/b)	156	bacteria	1773	Mycobacterium tuberculosis
d1nyca_	1nyc	b.61.2.2	All beta	111	bacteria	196620	Staphylococcus aureus subsp. aureus MW2
d1nzea_	1nze	a.24.18.1	All alpha	112	eukaryota	3562	Spinacia oleracea
d1nzia1	1nzi	b.23.1.1	All beta	114	eukaryota	9606	Homo sapiens
d1o22a_	1o22	d.238.1.1	Alpha and beta (a+b)	149	bacteria	2336	Thermotoga maritima
d1o2da_	1o2d	e.22.1.2	Multi-domain proteins (alpha and beta)	358	bacteria	2336	Thermotoga maritima
d1o3ua_	1o3u	a.24.16.3	All alpha	120	bacteria	2336	Thermotoga maritima
d1o75a1	1o75	b.1.20.1	All beta	126	bacteria	160	Treponema pallidum
d1o75a3	1o75	b.120.1.1	All beta	191	bacteria	160	Treponema pallidum
d1o7ja_	1o7j	c.88.1.1	Alpha and beta (a/b)	325	bacteria	556	Dickeya chrysanthemi
d1o7qa_	1o7q	c.68.1.9	Alpha and beta (a/b)	287	eukaryota	9913	Bos taurus
d1o82a_	1o82	a.64.2.1	All alpha	70	bacteria	1351	Enterococcus faecalis
d1o8ba2	1o8b	d.58.40.1	Alpha and beta (a+b)	72	bacteria	562	Escherichia coli
d1o98a1	1o98	c.105.1.1	Alpha and beta (a/b)	234	bacteria	1422	Geobacillus stearothermophilus
d1oa8a_	1oa8	b.145.1.1	All beta	128	eukaryota	9606	Homo sapiens
d1oaia_	1oai	a.5.2.3	All alpha	59	eukaryota	9606	Homo sapiens
d1oc0b_	1oc0	g.64.1.1	Small proteins	37	eukaryota	9606	Homo sapiens
d1ofcx3	1ofc	a.187.1.1	All alpha	87	eukaryota	7227	Drosophila melanogaster
d1ofda1	1ofd	b.80.4.1	All beta	268	bacteria	1148	Synechocystis sp. PCC 6803
d1ofza_	1ofz	b.68.8.1	All beta	312	eukaryota	5188	Aleuria aurantia
d1ogmx1	1ogm	b.133.1.1	All beta	199	eukaryota	28574	Talaromyces minioluteus
d1oisa_	1ois	e.15.1.1	Multi-domain proteins (alpha and beta)	220	eukaryota	4932	Saccharomyces cerevisiae
d1ojha_	1ojh	a.214.1.1	All alpha	52	bacteria	103690	Nostoc sp. PCC 7120 = FACHB-418
d1ok0a_	1ok0	b.5.1.1	All beta	74	bacteria	1932	Streptomyces tendae
d1okca_	1okc	f.42.1.1	Membrane and cell surface proteins and peptides	292	eukaryota	9913	Bos taurus
d1oksa_	1oks	a.8.5.1	All alpha	53	viruses	11234	Measles morbillivirus
d1olza2	1olz	b.69.12.1	All beta	474	eukaryota	9606	Homo sapiens
d1olza3	1olz	g.16.2.1	Small proteins	56	eukaryota	9606	Homo sapiens
d1on2a2	1on2	a.76.1.1	All alpha	74	bacteria	1423	Bacillus subtilis
d1oo0a_	1oo0	d.232.1.1	Alpha and beta (a+b)	144	eukaryota	7227	Drosophila melanogaster
d1oqja_	1oqj	d.217.1.1	Alpha and beta (a+b)	90	eukaryota	9606	Homo sapiens
d1or7a2	1or7	a.177.1.1	All alpha	181	bacteria	562	Escherichia coli
d1or7c_	1or7	a.180.1.1	All alpha	66	bacteria	562	Escherichia coli
d1orja_	1orj	a.24.19.1	All alpha	126	bacteria	224324	Aquifex aeolicus VF5
d1osya_	1osy	b.1.21.1	All beta	114	eukaryota	38945	Flammulina velutipes
d1ou8a_	1ou8	b.136.1.1	All beta	106	bacteria	727	Haemophilus influenzae
d1ov9a_	1ov9	a.155.1.1	All alpha	45	bacteria	666	Vibrio cholerae
d1ow1a_	1ow1	b.131.1.3	All beta	167	eukaryota	9606	Homo sapiens
d1owla1	1owl	a.99.1.1	All alpha	271	bacteria	269084	Synechococcus elongatus PCC 6301
d1owla2	1owl	c.28.1.1	Alpha and beta (a/b)	202	bacteria	269084	Synechococcus elongatus PCC 6301
d1oxxk1	1oxx	b.40.6.3	All beta	110	archaea	2287	Saccharolobus solfataricus
d1ozja_	1ozj	d.164.1.1	Alpha and beta (a+b)	126	eukaryota	9606	Homo sapiens
d1ozna_	1ozn	c.10.2.7	Alpha and beta (a/b)	284	eukaryota	9606	Homo sapiens
d1p1xa_	1p1x	c.1.10.1	Alpha and beta (a/b)	250	bacteria	83333	Escherichia coli K-12
d1p5dx1	1p5d	c.84.1.1	Alpha and beta (a/b)	146	bacteria	287	Pseudomonas aeruginosa
d1p6oa_	1p6o	c.97.1.2	Alpha and beta (a/b)	156	eukaryota	4932	Saccharomyces cerevisiae
d1p90a_	1p90	c.55.5.2	Alpha and beta (a/b)	123	bacteria	354	Azotobacter vinelandii
d1p9ga_	1p9g	g.3.1.1	Small proteins	41	eukaryota	4392	Eucommia ulmoides
d1p9ya_	1p9y	d.241.2.1	Alpha and beta (a+b)	117	bacteria	562	Escherichia coli
d1pbyc_	1pby	a.137.9.1	All alpha	79	bacteria	266	Paracoccus denitrificans
d1pfoa_	1pfo	f.9.1.1	Membrane and cell surface proteins and peptides	471	bacteria	1502	Clostridium perfringens
d1pfva3	1pfv	g.41.1.1	Small proteins	35	bacteria	562	Escherichia coli
d1pi1a_	1pi1	a.29.7.1	All alpha	185	eukaryota	9606	Homo sapiens
d1pm4a_	1pm4	b.135.1.1	All beta	117	bacteria	633	Yersinia pseudotuberculosis
d1pp0a_	1pp0	d.103.1.1	Alpha and beta (a+b)	191	eukaryota	36659	Volvariella volvacea
d1ppjc1	1ppj	f.32.1.1	Membrane and cell surface proteins and peptides	119	eukaryota	9913	Bos taurus
d1ppjd2	1ppj	f.23.11.1	Membrane and cell surface proteins and peptides	46	eukaryota	9913	Bos taurus
d1ppje2	1ppj	f.23.12.1	Membrane and cell surface proteins and peptides	69	eukaryota	9913	Bos taurus
d1ppjf_	1ppj	f.27.1.1	Membrane and cell surface proteins and peptides	99	eukaryota	9913	Bos taurus
d1ppjg_	1ppj	f.23.13.1	Membrane and cell surface proteins and peptides	73	eukaryota	9913	Bos taurus
d1ppjh_	1ppj	f.28.1.1	Membrane and cell surface proteins and peptides	66	eukaryota	9913	Bos taurus
d1ppjj_	1ppj	f.23.14.1	Membrane and cell surface proteins and peptides	32	eukaryota	9913	Bos taurus
d1pprm1	1ppr	a.131.1.1	All alpha	156	eukaryota	2961	Amphidinium carterae
d1puca_	1puc	d.97.1.1	Alpha and beta (a+b)	101	eukaryota	4896	Schizosaccharomyces pombe
d1pv5a_	1pv5	d.251.1.1	Alpha and beta (a+b)	261	bacteria	1423	Bacillus subtilis
d1pvma3	1pvm	g.41.13.1	Small proteins	36	archaea	273075	Thermoplasma acidophilum DSM 1728
d1px5a1	1px5	a.160.1.2	All alpha	146	eukaryota	9823	Sus scrofa
d1pz4a_	1pz4	d.106.1.1	Alpha and beta (a+b)	113	eukaryota	7159	Aedes aegypti
d1q0qa1	1q0q	a.69.3.1	All alpha	98	bacteria	562	Escherichia coli
d1q2ha_	1q2h	a.34.4.1	All alpha	63	eukaryota	9606	Homo sapiens
d1q5ya_	1q5y	d.58.18.4	Alpha and beta (a+b)	84	bacteria	562	Escherichia coli
d1q5za_	1q5z	a.196.1.1	All alpha	145	bacteria	90371	Salmonella enterica subsp. enterica serovar Typhimurium
d1q6za1	1q6z	c.31.1.3	Alpha and beta (a/b)	160	bacteria	303	Pseudomonas putida
d1q6za2	1q6z	c.36.1.5	Alpha and beta (a/b)	180	bacteria	303	Pseudomonas putida
d1q74a_	1q74	c.134.1.1	Alpha and beta (a/b)	287	bacteria	1773	Mycobacterium tuberculosis
d1q88a_	1q88	e.47.1.1	Multi-domain proteins (alpha and beta)	189	eukaryota	5722	Trichomonas vaginalis
d1q8da_	1q8d	a.228.1.1	All alpha	100	eukaryota	10116	Rattus norvegicus
d1q9ua_	1q9u	d.129.7.1	Alpha and beta (a+b)	128	bacteria	1422	Geobacillus stearothermophilus
d1qd1a1	1qd1	d.58.34.1	Alpha and beta (a+b)	179	eukaryota	9823	Sus scrofa
d1qexa_	1qex	b.32.1.1	All beta	288	viruses	10665	Escherichia virus T4
d1qf8a_	1qf8	g.41.4.1	Small proteins	167	eukaryota	9606	Homo sapiens
d1qksa2	1qks	b.70.2.1	All beta	432	bacteria	82367	Paracoccus pantotrophus
d1qmha1	1qmh	c.47.2.1	Alpha and beta (a/b)	95	bacteria	83333	Escherichia coli K-12
d1qw2a_	1qw2	d.249.1.1	Alpha and beta (a+b)	102	archaea	2303	Thermoplasma acidophilum
d1qwga_	1qwg	c.1.27.1	Alpha and beta (a/b)	251	archaea	2190	Methanocaldococcus jannaschii
d1r0da_	1r0d	a.216.1.1	All alpha	194	eukaryota	9606	Homo sapiens
d1r0ma1	1r0m	c.1.11.2	Alpha and beta (a/b)	243	bacteria	1299	Deinococcus radiodurans
d1r0ri_	1r0r	g.68.1.1	Small proteins	51	bacteria	1402	Bacillus licheniformis
d1r0va1	1r0v	c.52.2.1	Alpha and beta (a/b)	78	archaea	224325	Archaeoglobus fulgidus DSM 4304
d1r0va3	1r0v	d.75.1.1	Alpha and beta (a+b)	75	archaea	224325	Archaeoglobus fulgidus DSM 4304
d1r29a_	1r29	d.42.1.1	Alpha and beta (a+b)	122	eukaryota	9606	Homo sapiens
d1r5la1	1r5l	a.5.3.1	All alpha	66	eukaryota	9606	Homo sapiens
d1r5la2	1r5l	c.13.1.1	Alpha and beta (a/b)	185	eukaryota	9606	Homo sapiens
d1r6ja_	1r6j	b.36.1.1	All beta	82	eukaryota	9606	Homo sapiens
d1r71a_	1r71	a.4.14.1	All alpha	114	bacteria	562	Escherichia coli
d1r7la_	1r7l	d.277.1.1	Alpha and beta (a+b)	103	bacteria	1396	Bacillus cereus
d1r8se_	1r8s	a.118.3.1	All alpha	187	eukaryota	9913	Bos taurus
d1r9fa_	1r9f	d.255.1.1	Alpha and beta (a+b)	121	viruses	12145	Tomato bushy stunt virus
d1rc9a2	1rc9	g.19.1.2	Small proteins	57	eukaryota	39682	Trimeresurus stejnegeri
d1rcqa2	1rcq	c.1.6.1	Alpha and beta (a/b)	226	bacteria	287	Pseudomonas aeruginosa
d1regx_	1reg	d.58.27.1	Alpha and beta (a+b)	122	viruses	10665	Escherichia virus T4
d1rfya_	1rfy	a.2.13.1	All alpha	89	bacteria	358	Agrobacterium tumefaciens
d1rg8a_	1rg8	b.42.1.1	All beta	141	eukaryota	9606	Homo sapiens
d1rgxa_	1rgx	g.77.1.1	Small proteins	89	eukaryota	10090	Mus musculus
d1ri6a_	1ri6	b.69.11.1	All beta	333	bacteria	562	Escherichia coli
d1rk8c_	1rk8	b.72.3.1	All beta	33	eukaryota	7227	Drosophila melanogaster
d1rkia1	1rki	d.308.1.2	Alpha and beta (a+b)	98	archaea	13773	Pyrobaculum aerophilum
d1rl6a1	1rl6	d.141.1.1	Alpha and beta (a+b)	75	bacteria	1422	Geobacillus stearothermophilus
d1rlra1	1rlr	a.98.1.1	All alpha	212	bacteria	562	Escherichia coli
d1roca_	1roc	b.1.22.1	All beta	155	eukaryota	4932	Saccharomyces cerevisiae
d1rssa_	1rss	a.75.1.1	All alpha	140	bacteria	274	Thermus thermophilus
d1rtqa_	1rtq	c.56.5.4	Alpha and beta (a/b)	291	bacteria	671	Vibrio proteolyticus
d1rwha1	1rwh	a.102.3.2	All alpha	369	bacteria	43663	Paenarthrobacter aurescens
d1rwha2	1rwh	b.24.1.1	All beta	113	bacteria	43663	Paenarthrobacter aurescens
d1rwia_	1rwi	b.68.9.1	All beta	256	bacteria	1773	Mycobacterium tuberculosis
d1ryla_	1ryl	d.276.1.1	Alpha and beta (a+b)	157	bacteria	562	Escherichia coli
d1ryqa_	1ryq	g.41.9.3	Small proteins	62	archaea	2261	Pyrococcus furiosus
d1s0pa_	1s0p	a.192.1.1	All alpha	176	eukaryota	44689	Dictyostelium discoideum
d1s1da_	1s1d	b.67.3.1	All beta	317	eukaryota	9606	Homo sapiens
d1s2xa_	1s2x	a.47.3.1	All alpha	180	bacteria	210	Helicobacter pylori
d1s7ma_	1s7m	b.144.1.1	All beta	158	bacteria	727	Haemophilus influenzae
d1s7za_	1s7z	a.159.3.1	All alpha	106	viruses	10760	Escherichia phage T7
d1s98a_	1s98	b.124.1.1	All beta	97	bacteria	562	Escherichia coli
d1s99a_	1s99	d.58.48.2	Alpha and beta (a+b)	186	bacteria	1423	Bacillus subtilis
d1sbxa_	1sbx	a.6.1.4	All alpha	106	eukaryota	9606	Homo sapiens
d1sdia_	1sdi	a.198.1.1	All alpha	213	bacteria	562	Escherichia coli
d1seda_	1sed	a.219.1.1	All alpha	112	bacteria	1423	Bacillus subtilis
d1seia_	1sei	d.140.1.1	Alpha and beta (a+b)	130	bacteria	1422	Geobacillus stearothermophilus
d1sf9a_	1sf9	b.34.15.1	All beta	118	bacteria	1423	Bacillus subtilis
d1sg4a1	1sg4	c.14.1.3	Alpha and beta (a/b)	249	eukaryota	9606	Homo sapiens
d1sj7a1	1sj7	a.215.1.1	All alpha	167	eukaryota	10090	Mus musculus
d1sknp_	1skn	a.37.1.1	All alpha	74	eukaryota	6239	Caenorhabditis elegans
d1slua_	1slu	b.16.1.1	All beta	131	bacteria	562	Escherichia coli
d1sr8a_	1sr8	e.54.1.1	Multi-domain proteins (alpha and beta)	282	archaea	224325	Archaeoglobus fulgidus DSM 4304
d1svba2	1svb	f.10.1.1	Membrane and cell surface proteins and peptides	302	viruses	11084	Tick-borne encephalitis virus
d1syxb_	1syx	d.76.1.1	Alpha and beta (a+b)	62	eukaryota	9606	Homo sapiens
d1sz7a_	1sz7	d.278.1.2	Alpha and beta (a+b)	159	eukaryota	9606	Homo sapiens
d1szha_	1szh	a.226.1.1	All alpha	147	eukaryota	6239	Caenorhabditis elegans
d1t07a_	1t07	d.279.1.1	Alpha and beta (a+b)	81	bacteria	287	Pseudomonas aeruginosa
d1t11a1	1t11	a.223.1.1	All alpha	129	bacteria	666	Vibrio cholerae
d1t1ea2	1t1e	d.58.3.2	Alpha and beta (a+b)	179	bacteria	198803	Bacillus sp. MN-32
d1t1ua1	1t1u	c.43.1.3	Alpha and beta (a/b)	382	eukaryota	10116	Rattus norvegicus
d1t2da2	1t2d	d.162.1.1	Alpha and beta (a+b)	165	eukaryota	5833	Plasmodium falciparum
d1t3ua_	1t3u	d.244.1.1	Alpha and beta (a+b)	92	bacteria	208964	Pseudomonas aeruginosa PAO1
d1t6aa_	1t6a	d.129.8.1	Alpha and beta (a+b)	124	bacteria	1422	Geobacillus stearothermophilus
d1t6ua_	1t6u	a.24.22.1	All alpha	117	bacteria	1902	Streptomyces coelicolor
d1t77a1	1t77	a.169.1.1	All alpha	304	eukaryota	9606	Homo sapiens
d1t8ka_	1t8k	a.28.1.1	All alpha	77	bacteria	562	Escherichia coli
d1t9ia_	1t9i	d.95.2.1	Alpha and beta (a+b)	153	eukaryota	3055	Chlamydomonas reinhardtii
d1td6a_	1td6	a.234.1.1	All alpha	286	bacteria	2104	Mycoplasma pneumoniae
d1tf5a1	1tf5	a.162.1.1	All alpha	122	bacteria	1423	Bacillus subtilis
d1tf5a2	1tf5	a.172.1.1	All alpha	210	bacteria	1423	Bacillus subtilis
d1ti6b1	1ti6	b.3.5.1	All beta	79	bacteria	35816	Pelobacter acidigallici
d1tiga_	1tig	d.68.1.1	Alpha and beta (a+b)	88	bacteria	1422	Geobacillus stearothermophilus
d1tjxa_	1tjx	b.7.1.2	All beta	156	eukaryota	10116	Rattus norvegicus
d1tkea2	1tke	d.67.1.1	Alpha and beta (a+b)	162	bacteria	562	Escherichia coli
d1tl2a_	1tl2	b.67.1.1	All beta	235	eukaryota	6853	Tachypleus tridentatus
d1ts9a_	1ts9	b.137.1.1	All beta	98	archaea	2234	Archaeoglobus fulgidus
d1tt8a_	1tt8	d.190.1.1	Alpha and beta (a+b)	164	bacteria	562	Escherichia coli
d1tuka_	1tuk	a.52.1.1	All alpha	67	eukaryota	4565	Triticum aestivum
d1tula_	1tul	b.85.5.1	All beta	102	viruses	46015	Autographa californica nucleopolyhedrovirus
d1twfc2	1twf	d.181.1.1	Alpha and beta (a+b)	131	eukaryota	4932	Saccharomyces cerevisiae
d1twff_	1twf	a.143.1.2	All alpha	84	eukaryota	4932	Saccharomyces cerevisiae
d1twfj_	1twf	a.4.11.1	All alpha	65	eukaryota	4932	Saccharomyces cerevisiae
d1tx4a_	1tx4	a.116.1.1	All alpha	196	eukaryota	9606	Homo sapiens
d1tzba_	1tzb	c.80.1.1	Alpha and beta (a/b)	301	archaea	178306	Pyrobaculum aerophilum str. IM2
d1u07a_	1u07	d.212.1.2	Alpha and beta (a+b)	90	bacteria	562	Escherichia coli
d1u2ca2	1u2c	d.272.1.1	Alpha and beta (a+b)	125	eukaryota	10090	Mus musculus
d1u2ha_	1u2h	b.1.1.0	All beta	96	eukaryota	9606	Homo sapiens
d1u5ka2	1u5k	g.45.1.2	Small proteins	157	bacteria	243230	Deinococcus radiodurans R1
d1u5pa1	1u5p	a.7.1.1	All alpha	110	eukaryota	9031	Gallus gallus
d1u6ka_	1u6k	c.127.1.1	Alpha and beta (a/b)	282	archaea	2320	Methanopyrus kandleri
d1u7ga_	1u7g	f.44.1.1	Membrane and cell surface proteins and peptides	383	bacteria	562	Escherichia coli
d1u7za_	1u7z	c.72.3.1	Alpha and beta (a/b)	216	bacteria	562	Escherichia coli
d1u84a_	1u84	a.230.1.1	All alpha	81	bacteria	1422	Geobacillus stearothermophilus
d1u94a2	1u94	d.48.1.1	Alpha and beta (a+b)	60	bacteria	562	Escherichia coli
d1ucda_	1ucd	d.124.1.1	Alpha and beta (a+b)	190	eukaryota	3673	Momordica charantia
d1ucsa_	1ucs	b.85.1.1	All beta	64	eukaryota	8201	Lycodichthys dearborni
d1udxa3	1udx	d.242.1.1	Alpha and beta (a+b)	76	bacteria	300852	Thermus thermophilus HB8
d1ufia_	1ufi	a.30.4.1	All alpha	48	eukaryota	9606	Homo sapiens
d1ufya_	1ufy	d.79.1.2	Alpha and beta (a+b)	121	bacteria	300852	Thermus thermophilus HB8
d1ugia_	1ugi	d.17.5.1	Alpha and beta (a+b)	83	viruses	10684	Bacillus phage PBS2
d1uj8a1	1uj8	a.159.5.1	All alpha	64	bacteria	562	Escherichia coli
d1unqa_	1unq	b.55.1.1	All beta	117	eukaryota	9606	Homo sapiens
d1uoya_	1uoy	g.3.19.1	Small proteins	64	eukaryota	5074	Penicillium brevicompactum
d1uptb_	1upt	a.193.1.1	All alpha	58	eukaryota	9606	Homo sapiens
d1us0a_	1us0	c.1.7.1	Alpha and beta (a/b)	313	eukaryota	9606	Homo sapiens
d1us7b_	1us7	a.205.1.1	All alpha	193	eukaryota	4932	Saccharomyces cerevisiae
d1usma_	1usm	d.74.1.1	Alpha and beta (a+b)	77	bacteria	300852	Thermus thermophilus HB8
d1usub_	1usu	d.83.2.1	Alpha and beta (a+b)	132	eukaryota	4932	Saccharomyces cerevisiae
d1ut7a_	1ut7	b.143.1.1	All beta	147	eukaryota	3702	Arabidopsis thaliana
d1utga_	1utg	a.101.1.1	All alpha	70	eukaryota	9986	Oryctolagus cuniculus
d1utya_	1uty	b.147.1.1	All beta	153	viruses	197780	Bluetongue virus 8
d1uuja_	1uuj	a.221.1.1	All alpha	76	eukaryota	10090	Mus musculus
d1uuya_	1uuy	c.57.1.1	Alpha and beta (a/b)	161	eukaryota	3702	Arabidopsis thaliana
d1uv7a_	1uv7	d.67.4.1	Alpha and beta (a+b)	76	bacteria	666	Vibrio cholerae
d1uwka_	1uwk	e.51.1.1	Multi-domain proteins (alpha and beta)	554	bacteria	303	Pseudomonas putida
d1ux5a_	1ux5	a.207.1.1	All alpha	411	eukaryota	4932	Saccharomyces cerevisiae
d1uxya2	1uxy	d.146.1.1	Alpha and beta (a+b)	142	bacteria	562	Escherichia coli
d1uz3a_	1uz3	a.283.1.1	All alpha	102	eukaryota	9606	Homo sapiens
d1uz5a1	1uz5	b.85.6.1	All beta	72	archaea	70601	Pyrococcus horikoshii OT3
d1uz5a2	1uz5	b.103.1.1	All beta	176	archaea	70601	Pyrococcus horikoshii OT3
d1v30a_	1v30	d.269.1.1	Alpha and beta (a+b)	118	archaea	53953	Pyrococcus horikoshii
d1v58a2	1v58	d.17.3.1	Alpha and beta (a+b)	60	bacteria	562	Escherichia coli
d1v6pa_	1v6p	g.7.1.1	Small proteins	62	eukaryota	8656	Naja atra
d1v74b_	1v74	a.24.20.1	All alpha	87	bacteria	562	Escherichia coli
d1v7za_	1v7z	c.125.1.1	Alpha and beta (a/b)	257	bacteria	306	Pseudomonas sp.
d1v8ca2	1v8c	d.129.5.1	Alpha and beta (a+b)	78	bacteria	274	Thermus thermophilus
d1vaja1	1vaj	d.309.1.1	Alpha and beta (a+b)	203	archaea	53953	Pyrococcus horikoshii
d1vbwa_	1vbw	d.40.1.1	Alpha and beta (a+b)	68	eukaryota	3673	Momordica charantia
d1vcca_	1vcc	d.121.1.1	Alpha and beta (a+b)	77	viruses	10254	Vaccinia virus WR
d1vcla3	1vcl	d.281.1.1	Alpha and beta (a+b)	149	eukaryota	40245	Cucumaria echinata
d1vd6a_	1vd6	c.1.18.3	Alpha and beta (a/b)	218	bacteria	300852	Thermus thermophilus HB8
d1vf6a_	1vf6	a.194.1.1	All alpha	58	eukaryota	9606	Homo sapiens
d1vf7a_	1vf7	f.46.1.1	Membrane and cell surface proteins and peptides	237	bacteria	287	Pseudomonas aeruginosa
d1vh4a_	1vh4	b.80.6.1	All beta	410	bacteria	562	Escherichia coli
d1vi6a_	1vi6	c.23.15.1	Alpha and beta (a/b)	193	archaea	2234	Archaeoglobus fulgidus
d1vioa2	1vio	d.66.1.5	Alpha and beta (a+b)	230	bacteria	727	Haemophilus influenzae
d1vjla_	1vjl	d.257.1.1	Alpha and beta (a+b)	143	bacteria	2336	Thermotoga maritima
d1vk1a_	1vk1	d.268.1.2	Alpha and beta (a+b)	232	archaea	2261	Pyrococcus furiosus
d1vk5a_	1vk5	a.220.1.1	All alpha	121	eukaryota	3702	Arabidopsis thaliana
d1vkea_	1vke	a.152.1.2	All alpha	117	bacteria	243274	Thermotoga maritima MSB8
d1vkfa_	1vkf	c.1.29.1	Alpha and beta (a/b)	172	bacteria	243274	Thermotoga maritima MSB8
d1vkma_	1vkm	c.138.1.1	Alpha and beta (a/b)	291	bacteria	243274	Thermotoga maritima MSB8
d1vlra2	1vlr	d.246.1.1	Alpha and beta (a+b)	101	eukaryota	10090	Mus musculus
d1vlya1	1vly	b.44.2.1	All beta	82	bacteria	562	Escherichia coli
d1vlya2	1vly	d.250.1.1	Alpha and beta (a+b)	241	bacteria	562	Escherichia coli
d1vmba_	1vmb	d.58.14.1	Alpha and beta (a+b)	107	bacteria	2336	Thermotoga maritima
d1vmha_	1vmh	d.273.1.1	Alpha and beta (a+b)	128	bacteria	1488	Clostridium acetobutylicum
d1vmoa_	1vmo	b.77.1.1	All beta	163	eukaryota	9031	Gallus gallus
d1vp7a_	1vp7	a.7.13.1	All alpha	68	bacteria	257313	Bordetella pertussis Tohama I
d1vp8a_	1vp8	c.49.1.2	Alpha and beta (a/b)	190	archaea	224325	Archaeoglobus fulgidus DSM 4304
d1vpba_	1vpb	d.283.1.1	Alpha and beta (a+b)	437	bacteria	226186	Bacteroides thetaiotaomicron VPI-5482
d1vpqa_	1vpq	c.1.32.1	Alpha and beta (a/b)	260	bacteria	243274	Thermotoga maritima MSB8
d1vq811	1vq8	g.41.8.2	Small proteins	56	archaea	2238	Haloarcula marismortui
d1vq821	1vq8	a.137.1.1	All alpha	46	archaea	2238	Haloarcula marismortui
d1vq8l1	1vq8	c.12.1.1	Alpha and beta (a/b)	145	archaea	2238	Haloarcula marismortui
d1vq8p1	1vq8	a.94.1.1	All alpha	143	archaea	2238	Haloarcula marismortui
d1vq8v1	1vq8	a.2.2.1	All alpha	65	archaea	2238	Haloarcula marismortui
d1vq8x1	1vq8	d.29.1.1	Alpha and beta (a+b)	82	archaea	2238	Haloarcula marismortui
d1vq8y1	1vq8	c.9.2.1	Alpha and beta (a/b)	142	archaea	2238	Haloarcula marismortui
d1vr0a1	1vr0	c.148.1.1	Alpha and beta (a/b)	235	bacteria	1488	Clostridium acetobutylicum
d1vr4a1	1vr4	d.230.5.1	Alpha and beta (a+b)	103	bacteria	226900	Bacillus cereus ATCC 14579
d1vr7a_	1vr7	d.156.1.2	Alpha and beta (a+b)	120	bacteria	2336	Thermotoga maritima
d1vrma1	1vrm	d.96.2.1	Alpha and beta (a+b)	309	bacteria	243274	Thermotoga maritima MSB8
d1vyra_	1vyr	c.1.4.1	Alpha and beta (a/b)	363	bacteria	550	Enterobacter cloacae
d1vzma_	1vzm	g.32.1.0	Small proteins	43	eukaryota	172269	Argyrosomus regius
d1vzya1	1vzy	d.193.1.1	Alpha and beta (a+b)	233	bacteria	224308	Bacillus subtilis subsp. subtilis str. 168
d1vzya2	1vzy	g.81.1.1	Small proteins	57	bacteria	224308	Bacillus subtilis subsp. subtilis str. 168
d1w0na_	1w0n	b.18.1.28	All beta	120	bacteria	1406	Paenibacillus polymyxa
d1w23a_	1w23	c.67.1.4	Alpha and beta (a/b)	360	bacteria	1445	Bacillus alcalophilus
